"Currency:","USD","USD","USD","USD","BRL","CAD","CNY","DKK","HKD","INR","JPY","KRW","MYR","MXN","NOK","SEK","ZAR","SGD","LKR","CHF","TWD","THB","VEB"
"Unique Identifier: ","H10/H10/RXI$US_N.M.AL","H10/H10/RXI$US_N.M.EU","H10/H10/RXI$US_N.M.NZ","H10/H10/RXI$US_N.M.UK","H10/H10/RXI_N.M.BZ","H10/H10/RXI_N.M.CA","H10/H10/RXI_N.M.CH","H10/H10/RXI_N.M.DN","H10/H10/RXI_N.M.HK","H10/H10/RXI_N.M.IN","H10/H10/RXI_N.M.JA","H10/H10/RXI_N.M.KO","H10/H10/RXI_N.M.MA","H10/H10/RXI_N.M.MX","H10/H10/RXI_N.M.NO","H10/H10/RXI_N.M.SD","H10/H10/RXI_N.M.SF","H10/H10/RXI_N.M.SI","H10/H10/RXI_N.M.SL","H10/H10/RXI_N.M.SZ","H10/H10/RXI_N.M.TA","H10/H10/RXI_N.M.TH","H10/H10/RXI_N.M.VE"
"Time Period","RXI$US_N.M.AL","RXI$US_N.M.EU","RXI$US_N.M.NZ","RXI$US_N.M.UK","RXI_N.M.BZ","RXI_N.M.CA","RXI_N.M.CH","RXI_N.M.DN","RXI_N.M.HK","RXI_N.M.IN","RXI_N.M.JA","RXI_N.M.KO","RXI_N.M.MA","RXI_N.M.MX","RXI_N.M.NO","RXI_N.M.SD","RXI_N.M.SF","RXI_N.M.SI","RXI_N.M.SL","RXI_N.M.SZ","RXI_N.M.TA","RXI_N.M.TH","RXI_N.M.VE"
2002-07,0.5538,0.9935,0.4809,1.5565,2.9414,1.5456,8.2768,7.4807,7.8000,48.7877,117.8991,1179.9868,3.8000,9.7792,7.4694,9.3474,10.1032,1.7524,96.2655,1.4718,33.2723,41.2569,1.3174
2002-08,0.5413,0.9781,0.4635,1.5368,3.1082,1.5694,8.2767,7.5948,7.8000,48.6150,118.9927,1197.5091,3.8000,9.8389,7.6042,9.4610,10.5878,1.7553,96.2805,1.4972,33.8841,42.1927,1.3797
2002-09,0.5465,0.9806,0.4702,1.5563,3.3548,1.5761,8.2770,7.5752,7.7999,48.4625,121.0780,1211.6050,3.8000,10.0708,7.5018,9.3400,10.5967,1.7682,96.2070,1.4931,34.5730,42.8933,1.4584
2002-10,0.5502,0.9812,0.4818,1.5575,3.7966,1.5780,8.2772,7.5732,7.7995,48.3882,123.9077,1240.1909,3.8000,10.0941,7.4873,9.2846,10.3058,1.7843,96.4023,1.4932,34.9468,43.6405,1.4405
2002-11,0.5613,1.0013,0.4973,1.5711,3.5924,1.5715,8.2772,7.4201,7.7994,48.2853,121.6079,1210.2000,3.8000,10.1952,7.3157,9.0652,9.6509,1.7653,96.4263,1.4658,34.6732,43.3526,1.3586
2002-12,0.5624,1.0194,0.5108,1.5863,3.6268,1.5592,8.2777,7.2874,7.7988,48.1495,121.8929,1206.6143,3.8000,10.2251,7.1557,8.9303,8.9479,1.7532,96.7048,1.4388,34.7990,43.3181,1.3283
2003-01,0.5829,1.0622,0.5398,1.6175,3.4375,1.5414,8.2775,6.9980,7.7994,47.9571,118.8133,1176.4524,3.8000,10.6223,6.9138,8.6368,8.6949,1.7363,96.8133,1.3765,34.5714,42.7733,1.7145
2003-02,0.5956,1.0785,0.5539,1.6079,3.5955,1.5121,8.2780,6.8920,7.7995,47.7474,119.3379,1190.3684,3.8000,10.9447,7.0004,8.4837,8.2858,1.7451,96.8795,1.3602,34.7342,42.8966,1.6511
2003-03,0.6015,1.0797,0.5537,1.5825,3.4567,1.4761,8.2773,6.8807,7.7991,47.6767,118.6871,1237.2000,3.8000,10.9053,7.2760,8.5440,8.0506,1.7551,96.9433,1.3614,34.7216,42.7829,1.6000
2003-04,0.6100,1.0862,0.5518,1.5739,3.1090,1.4582,8.2772,6.8381,7.7996,47.3909,119.8950,1231.1045,3.8000,10.5887,7.2032,8.4314,7.6634,1.7771,97.0036,1.3783,34.8239,42.9286,1.6000
